,LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,address,timings,opening_hour,closing_hour,opening_hours
199,Wall_123032,"Wall CT, Senftenberger Ring",Berlin,Senftenberger Ring   (0-24 Uhr),13439,Deutschland,"13,353790066078","52,5996651754162",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Senftenberger Ring   ,0-24,0,24,0:00-24:00
200,Wall_123086,"Wall CT, Böhmischer Platz, Böhmische Str.",Berlin,"Böhmischer Platz, Böhmische Str. ggü. 45 (0-24 Uhr)",12055,Deutschland,"13,4493724241377","52,4739891831512",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,"Böhmischer Platz, Böhmische Str. ggü. 45 ",0-24,0,24,0:00-24:00
201,Wall_123172,"Wall CT, Bürgerpark Pankow, Leonhard-Frank-Str.",Berlin,"Bürgerpark Pankow, Leonhard-Frank-Str. ggü. 1 (0-24 Uhr)",13156,Deutschland,"13,3888560301798","52,5695241873745",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"Bürgerpark Pankow, Leonhard-Frank-Str. ggü. 1 ",0-24,0,24,0:00-24:00
202,Wall_123175,"Wall CT, Am Schlachtensee",Berlin,Am Schlachtensee (0-24 Uhr),14129,Deutschland,"13,2144458755228","52,4401584741876",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Am Schlachtensee ,0-24,0,24,0:00-24:00
203,Wall_123176,"Wall CT, Mühlenstr.",Berlin,Mühlenstr. ggü. 65 (0-24 Uhr),12249,Deutschland,"13,3477631316314","52,4321597279235",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Mühlenstr. ggü. 65 ,0-24,0,24,0:00-24:00
204,Wall_123312,"Wall CT, Osloer Str.",Berlin,Osloer Str.   (0-24 Uhr),13359,Deutschland,"13,3722521965853","52,557039819952",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Osloer Str.   ,0-24,0,24,0:00-24:00
205,Wall_123363,"Wall CT, Stralsunder Str. (Fußgängerzone)",Berlin,Stralsunder Str. (Fußgängerzone) 61 (0-24 Uhr),13355,Deutschland,"13,3952777777778","52,5397777777778",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Stralsunder Str. ,0-24,0,24,0:00-24:00
206,Wall_123365,"Wall CT, Weiskopffstr.",Berlin,Weiskopffstr. ggü. 12 (0-24 Uhr),12459,Deutschland,"13,5417987687468","52,4577762018818",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Weiskopffstr. ggü. 12 ,0-24,0,24,0:00-24:00
207,Wall_123366,"Wall CT, Ottomar-Geschke-Str.",Berlin,Ottomar-Geschke-Str. ggü. 49 (0-24 Uhr),12555,Deutschland,"13,5628400782931","52,4464949716756",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Ottomar-Geschke-Str. ggü. 49 ,0-24,0,24,0:00-24:00
208,Wall_123376,"Wall CT, S-Bhf. Mahlsdorf, Hönower Str.",Berlin,"S-Bhf. Mahlsdorf, Hönower Str. ggü. 79 (0-24 Uhr)",12623,Deutschland,"13,6124389966236","52,5119161279725",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"S-Bhf. Mahlsdorf, Hönower Str. ggü. 79 ",0-24,0,24,0:00-24:00
209,Wall_123385,"Wall CT, Thomashöhe, Thomasstr.",Berlin,"Thomashöhe, Thomasstr. ggü. 11-15 (0-24 Uhr)",12053,Deutschland,"13,438905760934","52,4737141412463",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,"Thomashöhe, Thomasstr. ggü. 11-15 ",0-24,0,24,0:00-24:00
210,Wall_123390,"Wall CT, Weichselstr. ",Berlin,Weichselstr.  ggü. 34 (0-24 Uhr),12045,Deutschland,"13,439041275332","52,4888602334729",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Weichselstr.  ggü. 34 ,0-24,0,24,0:00-24:00
211,Wall_123391,"Wall CT, Prerower Platz, Zingster Str.",Berlin,"Prerower Platz, Zingster Str. ggü 5 (0-24 Uhr)",13051,Deutschland,"13,504097989773","52,5644287994933",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,"Prerower Platz, Zingster Str. ggü 5 ",0-24,0,24,0:00-24:00
212,Wall_123392,"Wall CT, Vincent-van-Gogh-Str.",Berlin,Vincent-van-Gogh-Str. 20 (0-24 Uhr),13057,Deutschland,"13,5244707000485","52,564692682345",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Vincent-van-Gogh-Str. 20 ,0-24,0,24,0:00-24:00
213,Wall_123393,"Wall CT, Storkower Str.",Berlin,Storkower Str. 207A (0-24 Uhr),10369,Deutschland,"13,4655294418335","52,5243949890137",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Storkower Str. 207A ,0-24,0,24,0:00-24:00
214,Wall_123394,"Wall CT, Hauptstr.",Berlin,Hauptstr. ggü. 44A (0-24 Uhr),13055,Deutschland,"13,5052929214559","52,5486516611904",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Hauptstr. ggü. 44A ,0-24,0,24,0:00-24:00
215,Wall_123395,"Wall CT, Am Tierpark",Berlin,Am Tierpark 72 (0-24 Uhr),10319,Deutschland,"13,5227291739323","52,4974583856643",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Am Tierpark 72 ,0-24,0,24,0:00-24:00
216,Wall_123397,"Wall CT, Rheinsteinpark, Königswinterstr.",Berlin,"Rheinsteinpark, Königswinterstr. ggü. 7 (0-24 Uhr)",10318,Deutschland,"13,5297948664323","52,4832689530681",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,"Rheinsteinpark, Königswinterstr. ggü. 7 ",0-24,0,24,0:00-24:00
217,Wall_123402,"Wall CT, Paul-Lincke-Ufer",Berlin,Paul-Lincke-Ufer ggü. 16 (0-24 Uhr),10999,Deutschland,"13,4318183693879","52,4928459919693",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Paul-Lincke-Ufer ggü. 16 ,0-24,0,24,0:00-24:00
