,LavatoryID,Description,City,Street,opening_hours,street_address,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,ratings,Comments
346,Wall_5385,Toilette Friedenthalpark (Badewiese Halensee) (ex. Halensee/Badewiese),Berlin,"Halensee , Halenseestr. (0-24 Uhr)",0:00-24:00,"Halensee , Halenseestr. ",14193,Deutschland,13.2833333333333,52.4956111111111,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
345,Wall_5384,Toilette Parkplatz Lieper Bucht (ex. Lieper Bucht/Parkplatz Havelchaussee),Berlin,Havelchaussee (0-24 Uhr),0:00-24:00,Havelchaussee ,14193,Deutschland,13.1981666666667,52.4695,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
315,Wall_5349,Toilette Holbeinstr. (Ludwig-Beck-Platz),Berlin,Moltkestr. (0-24 Uhr),0:00-24:00,Moltkestr. ,12203,Deutschland,13.3120833333333,52.4426666666667,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
338,Wall_5376,Toilette Bürgerablage (Badestelle),Berlin,"Bürgerablage , Niederneuendorfer Allee 80 (0-24 Uhr)",0:00-24:00,"Bürgerablage , Niederneuendorfer Allee 80 ",13587,Deutschland,13.2100833333333,52.5852222222222,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
337,Wall_5374,Toilette Im Dohl (Groß Glienicker See/DLRG-Wasserrettungsstation) (ex. Groß Glienicker See/Pferdek.),Berlin,"Groß Glienicker See , verlängerte Uferpromenade (0-24 Uhr)",0:00-24:00,"Groß Glienicker See , verlängerte Uferpromenade ",14089,Deutschland,13.1154583333333,52.46125,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
336,Wall_5373,Toilette Haus Nr. 15 (ex. Groß Glienicker See/Badewiese),Berlin,"Groß Glienicker See , Uferpromenade (0-24 Uhr)",0:00-24:00,"Groß Glienicker See , Uferpromenade ",14089,Deutschland,13.119,52.4711944444445,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
392,Fremd_147,Toilette Friedhof in den Kisseln,Berlin,Friedhof in den Kisseln,,Friedhof in den Kisseln,13589,Deutschland,13.1745397596487,52.5591910847752,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
0,Wall_101003,Toilette Ottmachauer Steig (oberhalb Badestelle Ostufer),Berlin,"Krumme Lanke, Quermatenweg   (0-24 Uhr)",0:00-24:00,"Krumme Lanke, Quermatenweg   ",14109,Deutschland,13.240574813,52.453581173,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
11,Wall_11953,Toilette Leuthener Str.,Berlin,"Leuthener Platz , Naumannstr. (0-24 Uhr)",0:00-24:00,"Leuthener Platz , Naumannstr. ",10829,Deutschland,13.363288,52.481146,Yes,No,"0,00",No,No,No,No/Unknown,Café Achteck,No,16,
104,Wall_120742,"Wall CT, Neuendorfer Str.",Berlin,Neuendorfer Str. 2 (0-24 Uhr),0:00-24:00,Neuendorfer Str. 2 ,13585,Deutschland,13.2056353123,52.5414339921,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,15,
